Tensometr 1,Tensometr 2,Tensometr 3
1684,1581,839
1659,1416,840
1870,1604,817
1713,1504,831
1696,1821,825
1446,2081,795
1234,1933,779
1128,1687,763
1140,1529,775
1015,1205,774
1139,1287,782
1040,1413,793
1152,1469,796
1160,1549,821
1350,1594,835
1345,1443,878
1582,1646,900
1574,1398,909
1768,1375,906
1743,1312,901
1860,1387,934
1892,1489,921
1994,1439,938
1868,1365,968
2071,1299,963
2055,1328,977
2290,1246,1021
2140,1345,1041
2087,1225,1052
2162,1195,1074
2174,1056,1104
2175,1018,1147
2073,960,1203
2241,912,1222
2262,918,1346
2079,1029,1314
2087,1032,1356
1818,1017,1250
1889,1039,1280
1784,1037,1206
1727,1051,1214
1504,931,1111
1590,972,1182
1606,957,1114
1767,1052,1198
1862,1180,1094
2016,1393,1203
1902,1418,1145
2052,1399,1194
1982,1256,1076
1987,1143,1052
1851,983,969
1699,966,972
1649,963,928
1612,872,925
1557,788,869
1524,810,883
1498,810,866
1398,800,862
1398,735,831
1356,762,838
1385,698,831
1374,727,837
1332,695,815
1260,661,814
1312,710,816
1238,714,819
1176,699,793
1169,693,798
1162,748,780
1212,796,794
1268,909,765
1200,815,754
1228,842,723
1165,881,734
1160,958,700
1028,898,694
939,928,680
860,1008,685
890,982,676
847,871,667
814,733,686
819,743,683
808,759,684
785,843,693
808,823,708
860,830,720
885,882,748
952,1011,777
982,917,784
1076,828,776
1091,775,784
1145,749,770
1080,834,780
1162,786,782
1125,776,805
1201,672,813
1191,630,840
1320,653,832
1255,661,832
1299,624,840
1257,628,871
1288,589,853
1327,590,878
1466,605,898
1306,619,954
1434,555,957
1541,578,1057
1398,571,1038
1341,587,1070
1246,523,1010
1214,532,990
1136,479,932
1118,483,913
1090,398,872
1058,396,881
1047,391,823
1070,392,868
1119,393,840
1187,462,867
1262,450,861
1262,445,912
1325,431,875
1276,428,862
1240,444,820
1233,458,825
1222,464,803
1124,475,805
1131,482,796
1080,491,803
1121,492,797
1079,485,791
1015,497,788
1012,496,785
1045,494,784
1001,420,809
975,445,798
960,454,790
1036,410,813
994,414,805
999,467,796
999,511,810
994,569,821
1057,557,832
1077,565,792
1137,604,774
1120,618,776
1078,627,778
1066,600,764
963,661,741
910,630,731
890,647,737
837,610,731
805,503,722
791,488,728
803,564,746
757,561,747
829,587,763
865,544,781
949,572,794
941,572,838
1051,562,864
1020,531,866
1141,505,851
1070,562,848
1159,557,843
1139,590,866
1222,562,857
1190,523,884
1249,496,870
1252,523,895
1337,555,873
1297,542,892
1285,573,904
1260,612,912
1334,609,906
1456,576,953
1395,591,936
1473,589,989
1474,552,1076
1467,572,1068
1287,604,1034
1227,618,1014
1139,549,954
1105,556,929
1067,498,887
1047,497,890
1055,447,860
1034,467,854
1085,469,835
1114,492,856
1159,505,857
1204,557,881
1235,637,887
1229,629,899
1235,655,867
1143,644,860
1102,614,832
1129,662,809
1079,604,792
1045,555,797
1070,558,806
1053,617,788
1078,564,802
1002,585,793
989,568,795
996,622,790
1019,639,814
1015,719,793
1001,698,795
1024,697,793
1016,704,818
964,759,801
1000,749,858
983,901,826
1059,857,858
1061,1048,828
1093,1027,816
1124,1202,796
1047,1210,799
1065,1572,762
966,1687,759
938,1688,721
894,1673,707
862,1371,711
798,1255,719
838,1228,721
804,1339,724
830,1615,730
801,1599,733
907,1630,763
872,1581,771
1020,1746,813
975,1706,838
1074,1323,842
1063,1266,827
1206,1117,810
1082,1091,820
1209,1001,805
1164,963,823
1255,863,822
1253,765,843
1363,797,848
1383,763,867
1490,667,868
1321,697,871
1311,685,876
1404,691,896
1422,649,899
1412,628,923
1401,625,945
1404,605,1022
1329,621,998
1273,590,991
1175,556,962
1118,525,923
1078,498,896
1035,481,859
1024,459,843
1021,464,817
1046,478,813
1050,463,791
1149,527,829
1203,535,826
1225,585,867
1230,590,862
1199,590,833
1140,552,806
1073,561,805
1048,552,762
1032,560,787
1031,558,763
1073,568,787
1060,567,770
1041,583,771
1051,555,754
1042,538,763
1037,564,751
1049,619,764
1053,604,783
1043,598,791
1043,645,785
1064,645,806
1034,642,771
1034,609,792
1024,676,790
1067,721,799
1120,746,767
1123,770,770
1130,718,730
1166,697,738
1119,725,738
1060,856,722
1007,855,701
900,834,708
916,760,697
848,722,693
853,793,704
815,784,696
841,917,713
810,901,713
908,817,726
890,844,738
1028,961,771
1000,955,794
1096,895,806
1104,794,802
1255,742,791
1134,745,797
1171,789,797
1250,737,809
1253,704,819
1310,662,821
1317,656,836
1369,629,835
1410,624,852
1454,621,866
1378,596,877
1381,619,894
1419,630,913
1447,581,942
1409,560,971
1360,561,1013
1416,572,1090
1394,610,1058
1349,612,1081
1224,558,1010
1185,579,1005
1107,545,941
1113,523,947
1090,491,885
1089,522,878
1113,475,847
1144,521,878
1254,516,855
1335,571,936
1381,616,921
1394,669,950
1387,652,909
1404,593,916
1385,609,884
1346,599,916
1363,610,897
1360,580,882
1427,616,910
1506,674,947
1664,709,1009
1661,691,1003
1803,750,1043
1849,825,1105
2219,987,1114
2170,971,1143
2296,932,1109
2356,838,1122
2242,931,1133
2216,919,1164
2370,1028,1197
2478,1035,1207
2780,1159,1245
2769,1203,1186
